,description
6065,"Young, innocent Lahula's mother Mathru and elder sister Rajjo have multiple husbands at the same time. Illegal but socially accepted polyandry is practiced in their community for various socio-economic reasons. Multiple brothers share one woman as their wife and she is supposed to sexually oblige all of them in equal manner. Lahula loves Shiv and wants to marry him. Shiv has been disowned by his family because he refused to share his elder brother's wife. Lahula doesn't succumb to this unethical, emotionally not acceptable, illegal custom and rebels when she is forced by her parents to marry Daulatram along with his three brothers. She compels the society to rethink the way they treat women -the society, which is obsessed with having only male child."
6066,"After a long exile, Rahul returns to his village in the Himalayas. It causes commotion amongst the villagers, who have never forgiven him for his sins in the past."
6067,This video is about Sapan's life and his anxiety issues and problems. Issues which some of us have too but gets unnoticed. He has done some great work here.
6068,"Jack Ridge is a former piano prodigy living on a farm he has let go to seed. He's living in the past, but the future is coming for him."
6069,Hero falls for heroine but he has issues with her brother.
6070,"A top cop (Madhusudhanan) with the help of a special team tries to arrest Veerappan (Navin) who is hiding in the forest. During the process, he kills a spy and therefore he is removed from the operation. He is moved into Police Training Academy."
6071,"A brother and sister struggle with his health, an actress tries to stop prostitution, and an immigrant looks for a future as his girlfriend slips into insanity. A tragic accident brings them all together and reveals how they are connected."
6072,"Inspired by true events, a father and daughter with a strained relationship must work together as they quest to rescue their prize-winning horse which has been accidentally sent to slaughter."
6073,"The Dodos bring boozy, electric-stomp roots to one of NYC's most unique venues"
6074,"Each year on Memorial Day Weekend, the Chamber Music Society of Lincoln Center takes up residency in one of the country's most beautiful historical sites: Shaker Village of Pleasant Hill in rural Kentucky, where a vibrant Shaker community once flourished. In 2015, performing for an appreciative audience in a converted tobacco barn, the Chamber Music Society celebrated American music with performances of unparalleled intimacy and intensity, climaxing with Aaron Copland's monumental ""Appalachian Spring,"" whose melody incorporates a traditional Shaker theme. Director Habib Azar and documentarian Elliot Caplan went on the road with CMS into the heart of rural America, creating a film that uniquely blends musical performance with historical resonance, drawing poignant parallels between the gift of making music, the beauty and hardships of the frontier, and the quest for transcendence in American life."
6075,"The life of a young, happy-go-lucky bartender turns topsy-turvy when he encounters two girls in his life at different times."
6076,"Living legend, Nick Thune, takes the stage in Portland, Oregon and explains his stunning transformation into a good guy."
6077,
6078,"Bejeweled Fishes captures the spectacular beauty of the myriad fishes inhabiting coral reefs of the Tropical and Eastern Pacific. This Wild Window was captured in the Maldives Islands, Fiji, the Philippines, Mexico, California, and Indonesia."
6079,"An elderly piano teacher who lost his wife 35 years ago has yet to go through the grieving process. Because he has not done this, it comes back to affect him in many ways. He finds himself on a road to self destruction that will lead him to the ultimate cost. His dark regret will bring him to the precipice."
6080,"Bubble Bip is a CGI animated series co-produced by Planeta Junior, Triacom Audiovisual and Televisió de Catalunya. It tells the story of Bip, a videogame action hero who spends his life running from one screen to another until he decides to escape to the outside world for new adventures. Once on Earth, a group of kids almost as wacky as he is become his new comrades in adventure. The series is full of surprises and packed with action and comic gags. The stories provide entertainment and transmit values by addressing universal, educational subjects."
